date,title,link,sentiment,recommendation
27.12.2024,Котација на Дваесет и третата емисија на обврзници за денационализација,https://www.mse.mk/mk/news/27/12/2024/listing-of-the-twenty-third-issue-of-the-government-denationalization-bonds,Negative,Sell
27.12.2024,Намера за објавување на јавна понуда за преземање на РЖ Економика АД Скопје,https://www.mse.mk/mk/news/27/12/2024/intent-for-a-public-offer-for-takeover-of-the-company-rz-ekonomika-ad-skopje,Positive,Buy
27.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/27/12/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
26.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/26/12/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
25.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/25/12/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
24.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/24/12/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
23.12.2024,Блок трансакции,https://www.mse.mk/mk/news/23/12/2024/block-trades,Positive,Buy
23.12.2024,Откуп на сопствени акции и нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/23/12/2024/share-buy-backs-and-non-trade-transfers-of-listed-companies-shares,Negative,Sell
20.12.2024,Котација на државни обврзници,https://www.mse.mk/mk/news/20/12/2024/listing-of-government-bonds-on-the-macedonian-stock-exchange,Neutral,Hold
20.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/20/12/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
19.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/19/12/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
18.12.2024,Откуп на сопствени акции и нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/18/12/2024/share-buy-backs-and-non-trade-transfers-of-listed-companies-shares,Negative,Sell
17.12.2024,Редовна ревизија на индексите МБИ10 и ОМБ,https://www.mse.mk/mk/news/17/12/2024/regular-revision-of-mbi10-and-omb,Positive,Buy
17.12.2024,Годишни награди на Македонска берза за 2024 година,https://www.mse.mk/mk/news/17/12/2024/annual-awards-of-the-macedonian-stock-exchange-for-2024,Positive,Buy
17.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/17/12/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
16.12.2024,Македонска берза стана дел од најновата иницијатива на Европската банка за обнова и развој (EBRD) и седум берзи од регионот на Централна и Југоисточна Европа,"https://www.mse.mk/mk/news/16/12/2024/the-macedonian-stock-exchange-has-joined-the-latest-initiative-launched-by-the-european-bank-for-reconstruction-and-development-(ebrd),-alongside-seven-other-stock-exchanges-from-central-and-south-eastern-europe",Positive,Buy
16.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/16/12/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
13.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/13/12/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
12.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/12/12/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
11.12.2024,Котација на државни обврзници,https://www.mse.mk/mk/news/11/12/2024/listing-of-government-bonds-on-the-macedonian-stock-exchange,Neutral,Hold
11.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/11/12/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
10.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/10/12/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
07.12.2024,Јавна понуда за преземање на Герас Цунев Трговија АД Струмица,https://www.mse.mk/mk/news/7/12/2024/takeover-bid-for-the-company-geras-cunev-trgovija-ad-strumica,Positive,Buy
07.12.2024,Јавна понуда за преземање на Герас Цунев Конфекција АД Струмица,https://www.mse.mk/mk/news/7/12/2024/takeover-bid-for-the-company-geras-cunev-konfekcija-ad-strumica,Positive,Buy
06.12.2024,Билтен за месец ноември 2024 година,https://www.mse.mk/mk/news/6/12/2024/bulletin-for-november-2024,Positive,Buy
06.12.2024,Успешно реализирана трета обука за корпоративни секретари,https://www.mse.mk/mk/news/6/12/2024/third-training-for-corporate-secretaries-successfully-completed,Positive,Buy
06.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/6/12/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
05.12.2024,Откуп на сопствени акции,https://www.mse.mk/mk/news/5/12/2024/share-buy-backs,Negative,Sell
04.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/4/12/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
03.12.2024,Блок трансакции,https://www.mse.mk/mk/news/3/12/2024/block-trades,Positive,Buy
03.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/3/12/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
02.12.2024,Блок трансакции,https://www.mse.mk/mk/news/2/12/2024/block-trades,Positive,Buy
02.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/2/12/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
29.11.2024,Блок трансакции,https://www.mse.mk/mk/news/29/11/2024/block-trades,Positive,Buy
29.11.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/29/11/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
28.11.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/28/11/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
27.11.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/27/11/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
26.11.2024,Котација на државни обврзници,https://www.mse.mk/mk/news/26/11/2024/listing-of-government-bonds-on-the-macedonian-stock-exchange,Neutral,Hold
26.11.2024,Откуп на сопствени акции и нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/26/11/2024/share-buy-backs-and-non-trade-transfers-of-listed-companies-shares,Negative,Sell
25.11.2024,Организирање јавна берзанска аукција на акции при продажба на големи пакети на акции,https://www.mse.mk/mk/news/25/11/2024/public-auction-for-big-packages-of-shares,Positive,Buy
25.11.2024,Трета обука за корпоративни секретари,https://www.mse.mk/mk/news/25/11/2024/training-for-corporate-secretaries,Positive,Buy
22.11.2024,Откуп на сопствени акции и нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/22/11/2024/share-buy-backs-and-non-trade-transfers-of-listed-companies-shares,Negative,Sell
21.11.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/21/11/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
20.11.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/20/11/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
19.11.2024,Блок трансакција,https://www.mse.mk/mk/news/19/11/2024/block-trade,Positive,Buy
19.11.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/19/11/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
18.11.2024,Бришење на издавачот Пелистерка АД Скопје од Листата за набљудување,https://www.mse.mk/mk/news/18/11/2024/deletion-of-the-publisher-pelisterka-ad-skopje-from-the-watch-list,Negative,Sell
15.11.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/15/11/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
13.11.2024,Почеток на тргување со хартии од вредност на Берзата преку членката Халк Банка АД Скопје,https://www.mse.mk/mk/news/13/11/2024/the-member-halk-banka-ad-skopje-will-start-trading-through-the-best-system,Negative,Sell
13.11.2024,Блок трансакција,https://www.mse.mk/mk/news/13/11/2024/block-trade,Positive,Buy
13.11.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/13/11/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
12.11.2024,Блок трансакции,https://www.mse.mk/mk/news/12/11/2024/block-trades,Positive,Buy
12.11.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/12/11/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
11.11.2024,Преглед на финансиски податоци за котираните друштва,https://www.mse.mk/mk/news/11/11/2024/summary-of-financial-data-of-listed-mse-companies,Positive,Buy
11.11.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/11/11/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
08.11.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/8/11/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
07.11.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/7/11/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
06.11.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/6/11/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
05.11.2024,Билтен за месец октомври 2024 година,https://www.mse.mk/mk/news/5/11/2024/bulletin-for-october-2024,Positive,Buy
05.11.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/5/11/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
04.11.2024,Блок трансакции,https://www.mse.mk/mk/news/4/11/2024/block-trades,Positive,Buy
31.10.2024,Во пресрет на Светскиот ден на штедење Берзата организираше настан за студентите,"https://www.mse.mk/mk/news/31/10/2024/in-anticipation-of-world-savings-day,-the-macedonian-stock-exchange-organized-an-event-for-students",Positive,Buy
31.10.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/31/10/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
30.10.2024,Котација на државни обврзници,https://www.mse.mk/mk/news/30/10/2024/listing-of-government-bonds-on-the-macedonian-stock-exchange,Neutral,Hold
30.10.2024,Блок трансакција,https://www.mse.mk/mk/news/30/10/2024/block-trade,Positive,Buy
30.10.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/30/10/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
29.10.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/29/10/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
25.10.2024,Проширување на основот за обрнување на внимание  за друштвата Герас Цунев Конфекција АД Струмица и Герас Цунев Трговија АД Струмица на Листата за набљудување,"https://www.mse.mk/mk/news/25/10/2024/expansion-of-the-basis-for-attention-to-the-companies-geras-cunev-konfekcija-ad-strumica-and-geras-cunev-trgovija-ad-strumica-on-the-""watch-list""",Positive,Buy
25.10.2024,Намера за објавување на јавна понуда за преземање на Герас Цунев Трговија АД Струмица,https://www.mse.mk/mk/news/25/10/2024/intent-for-a-public-offer-for-takeover-of-the-company-geras-cunev-trgovija-ad-strumica,Positive,Buy
25.10.2024,Намера за објавување на јавна понуда за преземање на Герас Цунев Конфекција АД Струмица,https://www.mse.mk/mk/news/25/10/2024/intent-for-a-public-offer-for-takeover-of-the-company-geras-cunev-konfekcija-ad-strumica,Positive,Buy
25.10.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/25/10/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
24.10.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/24/10/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
22.10.2024,Котација на државни обврзници,https://www.mse.mk/mk/news/22/10/2024/listing-of-government-bonds-on-the-macedonian-stock-exchange,Neutral,Hold
22.10.2024,Нова редизајнирана интернет страна на платформата СЕИ НЕТ,https://www.mse.mk/mk/news/22/10/2024/new-redesigned-website-of-the-sei-net-platform,Negative,Sell
22.10.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/22/10/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
21.10.2024,Блок трансакција,https://www.mse.mk/mk/news/21/10/2024/block-trade,Positive,Buy
21.10.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/21/10/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
18.10.2024,Блок трансакции,https://www.mse.mk/mk/news/18/10/2024/block-trades,Positive,Buy
18.10.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/18/10/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
17.10.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/17/10/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
17.10.2024,"Со дебата ,,Mладите и финансиите “ Македонска берза по четврти пат се приклучи на „ Ring the Bell for Financial Literacy “","https://www.mse.mk/mk/news/17/10/2024/with-the-rounde-table-discussion,-""youth-and-finances"",-the-macedonian-stock-exchange-joined-""ring-the-bell-for-financial-literacy""-for-the-fourth-time",Neutral,Hold
16.10.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/16/10/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
15.10.2024,Блок трансакции,https://www.mse.mk/mk/news/15/10/2024/block-trades,Positive,Buy
14.10.2024,Нов годишен извештај за следење на усогласеноста на котираните друштва со ККУ,https://www.mse.mk/mk/news/14/10/2024/second-report-on-compliance-of-the-listed-companies-with-the-corporate-governance-code,Positive,Buy
14.10.2024,Откуп на сопствени акции и нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/14/10/2024/share-buy-backs-and-non-trade-transfers-of-listed-companies-shares,Negative,Sell
10.10.2024,Блок трансакции,https://www.mse.mk/mk/news/10/10/2024/block-trades,Positive,Buy
10.10.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/10/10/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
09.10.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/9/10/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
08.10.2024,Јавна опомена за котиранoтo друштвo ДС Смитх АД Скопје,https://www.mse.mk/mk/news/8/10/2024/public-warning-for-the-listed-company-ds-smith-ad-skopje,Positive,Buy
08.10.2024,Блок трансакции,https://www.mse.mk/mk/news/8/10/2024/block-trades,Positive,Buy
07.10.2024,Блок трансакција,https://www.mse.mk/mk/news/7/10/2024/block-trade,Positive,Buy
07.10.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/7/10/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
04.10.2024,Билтен за месец септември 2024 година,https://www.mse.mk/mk/news/4/10/2024/bulletin-for-september-2024,Positive,Buy
03.10.2024,Блок трансакција,https://www.mse.mk/mk/news/3/10/2024/block-trade,Positive,Buy
03.10.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/3/10/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
01.10.2024,Блок трансакција,https://www.mse.mk/mk/news/1/10/2024/block-trade,Positive,Buy
30.9.2024,Блок трансакции,https://www.mse.mk/mk/news/30/9/2024/block-trades,Positive,Buy
30.9.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/30/9/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
27.9.2024,Решение од КХВ за неуспешност на понудата за преземање на Стопанска Банка АД Битола,https://www.mse.mk/mk/news/27/9/2024/decision-by-the-sec-on-the-failure-of-the-offer-to-take-over-stopanska-banka-ad-bitola,Negative,Sell
27.9.2024,Бришење на издавачот Стопанска Банка АД Битола од Листата за набљудување,https://www.mse.mk/mk/news/27/9/2024/removal-of-the-issuer-stopanska-banka-ad-bitola-from-the-watch-list,Negative,Sell
27.9.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/27/9/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
26.9.2024,Јавна опомена за котиранoтo друштвo Пелистерка АД Скопје,https://www.mse.mk/mk/news/26/9/2024/public-warning-for-the-listed-company-pelisterka-ad-skopje,Positive,Buy
26.9.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/26/9/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
25.9.2024,Обезбедување генерациски континуитет на бизнисот – тема на најновиот состанок со членките на БУМ Клубот,https://www.mse.mk/mk/news/25/9/2024/family-inheritance-and-family-businesses,Positive,Buy
24.9.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/24/9/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
23.9.2024,Нова членка на Македонска берза,https://www.mse.mk/mk/news/23/9/2024/a-new-member-of-the-macedonian-stock-exchange,Positive,Buy
23.9.2024,Прилози од 23-тата годишна конференција на Македонска берза,https://www.mse.mk/mk/news/23/9/2024/23rd-annual-conference-of-the-macedonian-stock-exchange,Positive,Buy
23.9.2024,Блок трансакција,https://www.mse.mk/mk/news/23/9/2024/block-trade,Positive,Buy
20.9.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/20/9/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
19.9.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/19/9/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
18.9.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/18/9/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
17.9.2024,Откуп на сопствени акции и нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/17/9/2024/share-buy-backs-and-non-trade-transfers-of-listed-companies-shares,Negative,Sell
16.9.2024,Блок трансакција,https://www.mse.mk/mk/news/16/9/2024/block-trade,Positive,Buy
16.9.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/16/9/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
13.9.2024,Петта година по ред на Македонска берза успешно се одржа „Инвеститорски ден“,https://www.mse.mk/mk/news/13/9/2024/investor-day,Positive,Buy
13.9.2024,Блок трансакции,https://www.mse.mk/mk/news/13/9/2024/block-trades,Positive,Buy
13.9.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/13/9/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
12.9.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/12/9/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
11.9.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/11/9/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
10.9.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/10/9/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
06.9.2024,Котација на државни обврзници,https://www.mse.mk/mk/news/6/9/2024/listing-of-government-bonds-on-the-macedonian-stock-exchange,Neutral,Hold
05.9.2024,Билтен за месец август 2024 година,https://www.mse.mk/mk/news/5/9/2024/bulletin-for-august-2024,Positive,Buy
05.9.2024,Јавна опомена за котиранoтo друштвo Вабтек МЗТ АД Скопје,https://www.mse.mk/mk/news/5/9/2024/public-warning-for-the-listed-company-vabtek-mzt-ad-skopje,Positive,Buy
04.9.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/4/9/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
02.9.2024,Инвеститорски ден на Берзата на 13.09.2024 година,"https://www.mse.mk/mk/news/2/9/2024/september-13,-2024---""investor-day""-on-the-stock-exchange",Negative,Sell
30.8.2024,Откуп на сопствени акции и нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/30/8/2024/share-buy-backs-and-non-trade-transfers-of-listed-companies-shares,Negative,Sell
29.8.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/29/8/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
27.8.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/27/8/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
26.8.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/26/8/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
23.8.2024,Јавна понуда за преземање на Стопанска банка АД Битола,https://www.mse.mk/mk/news/23/8/2024/takeover-bid-for-the-company-stopanska-banka-ad-bitola,Positive,Buy
22.8.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/22/8/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
21.8.2024,Јавна опомена за котираните друштвa РЖ Интер-Трансшпед АД Скопје и ДС Смитх АД Скопје,https://www.mse.mk/mk/news/21/8/2024/public-warning-for-the-listed-companies-rz-inter-transped-ad-skopje-and-ds-smith-ad-skopje,Positive,Buy
21.8.2024,Блок трансакција,https://www.mse.mk/mk/news/21/8/2024/block-trade,Positive,Buy
21.8.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/21/8/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
20.8.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/20/8/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
19.8.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/19/8/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
16.8.2024,Блок трансакција,https://www.mse.mk/mk/news/16/8/2024/block-trade,Positive,Buy
16.8.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/16/8/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
15.8.2024,Котација на државни обврзници,https://www.mse.mk/mk/news/15/8/2024/listing-of-government-bonds-on-the-macedonian-stock-exchange,Neutral,Hold
15.8.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/15/8/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
13.8.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/13/8/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
12.8.2024,Јавна опомена за котираните друштвa Вабтек МЗТ АД Скопје и ГТЦ АД Скопје,https://www.mse.mk/mk/news/12/8/2024/public-warning-for-the-listed-companies-vabtek-mzt-ad-skopje-and-gtc-ad-skopje,Positive,Buy
12.8.2024,Блок трансакции,https://www.mse.mk/mk/news/12/8/2024/block-trades,Positive,Buy
12.8.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/12/8/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
09.8.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/9/8/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
08.8.2024,Преглед на финансиски податоци за котираните друштва,https://www.mse.mk/mk/news/8/8/2024/summary-of-financial-data-of-listed-mse-companies,Positive,Buy
08.8.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/8/8/2024/non-trade-transfers-of-listed-companies-share,Negative,Sell
