date,title,link
27.12.2024,Котација на Дваесет и третата емисија на обврзници за денационализација,https://www.mse.mk/mk/news/27/12/2024/listing-of-the-twenty-third-issue-of-the-government-denationalization-bonds
27.12.2024,Намера за објавување на јавна понуда за преземање на РЖ Економика АД Скопје,https://www.mse.mk/mk/news/27/12/2024/intent-for-a-public-offer-for-takeover-of-the-company-rz-ekonomika-ad-skopje
27.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/27/12/2024/non-trade-transfers-of-listed-companies-share
26.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/26/12/2024/non-trade-transfers-of-listed-companies-share
25.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/25/12/2024/non-trade-transfers-of-listed-companies-share
24.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/24/12/2024/non-trade-transfers-of-listed-companies-share
23.12.2024,Блок трансакции,https://www.mse.mk/mk/news/23/12/2024/block-trades
23.12.2024,Откуп на сопствени акции и нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/23/12/2024/share-buy-backs-and-non-trade-transfers-of-listed-companies-shares
20.12.2024,Котација на државни обврзници,https://www.mse.mk/mk/news/20/12/2024/listing-of-government-bonds-on-the-macedonian-stock-exchange
20.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/20/12/2024/non-trade-transfers-of-listed-companies-share
19.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/19/12/2024/non-trade-transfers-of-listed-companies-share
18.12.2024,Откуп на сопствени акции и нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/18/12/2024/share-buy-backs-and-non-trade-transfers-of-listed-companies-shares
17.12.2024,Редовна ревизија на индексите МБИ10 и ОМБ,https://www.mse.mk/mk/news/17/12/2024/regular-revision-of-mbi10-and-omb
17.12.2024,Годишни награди на Македонска берза за 2024 година,https://www.mse.mk/mk/news/17/12/2024/annual-awards-of-the-macedonian-stock-exchange-for-2024
17.12.2024,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/17/12/2024/non-trade-transfers-of-listed-companies-share
